variable,region,unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Consumption,World,billion US$2005/yr,29520,33130,47230,64360,83790,104600,126700,145700,175000,201900,228700
Consumption,OECD (R5),billion US$2005/yr,18516,20569,28782,38707,50003,62283,75696,87650,106103,123434,140871
Consumption,REF (R5),billion US$2005/yr,676.3,726.4,964.8,1230,1525,1847,2190,2480,2941,3355,3760
Consumption,ASIA (R5),billion US$2005/yr,6347,7166,10279,13941,17857,21700,25327,27942,32139,35501,38680
Consumption,MAF (R5),billion US$2005/yr,1979.4,2379.4,3832,5779,8216,11048,14175,17087,21320,25410,29570
Consumption,LAM (R5),billion US$2005/yr,2001,2292,3374,4697,6182,7727,9275,10530,12470,14170,15850
Diagnostics|MAGICC6|Concentration|CH4,World,ppb,1753.16,1812.864,1909.7224,1988.9154,2089.3145,2208.6492,2319.0493,2387.7409,2403.4345,2368.0819,2278.3113
Diagnostics|MAGICC6|Concentration|CO2,World,ppm,379.85,390.5053,416.33726,446.72265,482.91477,524.87582,572.70396,626.62113,684.5893,743.98152,801.34748
Diagnostics|MAGICC6|Concentration|N2O,World,ppb,319.855,323.68957,331.78478,340.66835,349.37844,357.56233,365.11704,372.07907,378.38798,383.9324,388.60909
Diagnostics|MAGICC6|Forcing,World,W/m2,1.8709164,2.1350452,2.6341201,3.1404886,3.7180754,4.3274672,4.9188066,5.5143836,6.065924,6.5551237,6.9621402
Diagnostics|MAGICC6|Forcing|Aerosol,World,W/m2,-1.11516835,-1.05678937,-1.0262648,-0.9821537,-0.8689261799999999,-0.72669752,-0.65635482,-0.5890299999999999,-0.54040815,-0.50196467,-0.47738963
Diagnostics|MAGICC6|Forcing|CH4,World,W/m2,0.562304717,0.58827586,0.629492073,0.662400019,0.70316753,0.75033673,0.79282187,0.81873348,0.8245993899999999,0.81135732,0.77726821
